LITHOLOGY,CODE,,MUD
BEDROCK,DoNotUse,,DIRT AND GRAVEL
FIRECLAY,DoNotUse,,GRAVEL
VOID,DoNotUse,,GRAVEL WITH SAND
CLAY AND STONE,0,,GRAVEL AND CLAY
DIRT AND BEDROCK,DoNotUse,,GRAVEL WITH CLAY
DIRT AND STONE,DoNotUse,,GRAVEL WITH CLAY STREAKS
GRAVEL AND STONE,1,,MARL
BOULDER,1,,ORGANIC MATERIAL
BOULDERS AND CLAY,0,,DIRT AND SAND
GRAVEL WITH BOULDERS,1,,SAND
CLAY,0,,SAND AND CLAY
DIRT AND CLAY,0,,SAND WITH CLAY
CLAY AND GRAVEL,0,,SAND AND GRAVEL
CLAY WITH GRAVEL,0,,SAND WITH GRAVEL
MUD AND GRAVEL,0,,SAND WITH CLAY STREAKS
CLAY AND SAND,0,,SILT
CLAY WITH SAND,0,,SILT AND GRAVEL
MUD AND SAND,0,,SILT AND SAND
CLAY WITH GRAVEL SEAMS,0,,SILT WITH SAND SEAMS
CLAY WITH SAND STREAKS,0,,DIRT
FILL,DoNotUse,,SOIL
DRIFT,DoNotUse,,UNKNOWN
MUD,DoNotUse,,
DIRT AND GRAVEL,1,,
GRAVEL,1,,
GRAVEL WITH SAND,1,,
GRAVEL AND CLAY,0,,
GRAVEL WITH CLAY,0,,
GRAVEL WITH CLAY STREAKS,0,,
MARL,0,,
ORGANIC MATERIAL,0,,
DIRT AND SAND,1,,
SAND,1,,
SAND AND CLAY,0,,
SAND WITH CLAY,0,,
SAND AND GRAVEL,1,,
SAND WITH GRAVEL,1,,
SAND WITH CLAY STREAKS,0,,
SILT,0,,
SILT AND GRAVEL,0,,
SILT AND SAND,0,,
SILT WITH SAND SEAMS,0,,
DIRT,DoNotUse,,
SOIL,DoNotUse,,
UNKNOWN,DoNotUse,,
