ID,DESCRIPTION,LITHOLOGY
0,"sand, fine gr",SAND
1,"sand, fine-large gr",SAND
2,"sand, some large gr",SAND
3,toop soil,SOIL
4,grav in muck,GRAVEL
5,sand & clay,SAND AND CLAY
6,sandrock,BEDROCK
7,yellow fine loose limestone,BEDROCK
8,"limestone, broken grav",DIRT AND BEDROCK
9,"limestone, broken clay",DIRT AND BEDROCK
10,slot sand,SAND
11,clay & gravel loam,CLAY AND GRAVEL
12,soft lime & clay,DIRT AND BEDROCK
13,clayey & gravel,CLAY AND GRAVEL
14,big gravel brown,GRAVEL
15,limestone (crevice),BEDROCK
16,clay and sand pocket,CLAY AND SAND
17,"sandy clay, stones & boulders",BOULDER
18,brown clay with trace amounts of gravel,CLAY AND GRAVEL
19,bad spot,UNKNOWN
20,brown clay with trace amounts of gravel,CLAY AND GRAVEL
21,broken brown limestone & clay,DIRT AND BEDROCK
22,limestone fill,FILL
23,coarse sand w/gray clay,SAND WITH CLAY STREAKS
24,brown/tan sandstone,BEDROCK
25,firm yellow limestone,BEDROCK
26,gray limetone,BEDROCK
27,blue dolomite,BEDROCK
28,yellow gravel/clay,GRAVEL AND CLAY
29,gray/tan limestone,BEDROCK
30,gray/yellow sandstone/shale,BEDROCK
31,gray dolomite/brittle shale,BEDROCK
32,white/yellow sandstone,BEDROCK
33,white/tan/yellow sandy dolomite,BEDROCK
34,clear coarse white sandstone,BEDROCK
35,red/yellow/white sandy dolomite,BEDROCK
36,gravel 1/2 broken gravel,GRAVEL
37,large rocks & brown sand,BOULDER
38,layered gray/brown dolomite,BEDROCK
39,blue dolomite,BEDROCK
40,coarse sand w/gravel & clay,SAND AND GRAVEL
41,firm yellow limestone,BEDROCK
42,brown/gray dolomite layered,BEDROCK
43,brown water bearing dolomite,BEDROCK
44,blue dolomite,BEDROCK
45,"brown & gray silt, trace clay",SILT
46,white lime & soft,BEDROCK
47,white flint & water,BEDROCK
48,white & flinty,BEDROCK
49,gray flint,BEDROCK
50,soft soapstone blue,BEDROCK
51,slate & solid,BEDROCK
52,fine white rock,BEDROCK
53,coarse rock & water,BEDROCK
54,"rock,soft",BEDROCK
55,"sand,medium",SAND
56,lime (gray),BEDROCK
57,flint & shale,BEDROCK
58,lime & flint,BEDROCK
59,brk.lime & clay,DIRT AND BEDROCK
60,Brk.lime,BEDROCK
61,blue loam,SAND AND CLAY
62,w lime to gray,BEDROCK
63,clay,CLAY
64,limestone,BEDROCK
65,gravel,GRAVEL
66,yellow clay,CLAY
67,gray clay,CLAY
68,sand & gravel,SAND AND GRAVEL
69,shale,BEDROCK
70,brown clay,CLAY
71,topsoil,SOIL
72,top soil,SOIL
73,sandstone,BEDROCK
74,gray shale,BEDROCK
75,rock,BEDROCK
76,lime,BEDROCK
77,coal,BEDROCK
78,clay & gravel,CLAY AND GRAVEL
79,hardpan,SOIL
80,sandy clay,SAND AND CLAY
81,no record,UNKNOWN
82,fine sand,SAND
83,soil,SOIL
84,black dirt,SOIL
85,sand gravel,GRAVEL
86,drift,DIRT
87,gray limestone,BEDROCK
88,red clay,CLAY
89,sandy shale,BEDROCK
90,clay gray,CLAY
91,yellow sandy clay,CLAY AND SAND
92,gray sand,SAND
93,green clay,CLAY
94,tan clay,CLAY
95,yellow sand,SAND
96,gray sandy clay,CLAY AND SAND
97,shale gray,BEDROCK
98,dolomite,BEDROCK
99,broken limestone,BEDROCK
100,fire clay,BEDROCK
101,yellow limestone,BEDROCK
102,blue shale,BEDROCK
103,gravel & sand,GRAVEL
104,coarse sand,SAND
105,white limestone,BEDROCK
106,black shale,BEDROCK
107,overburden,DIRT
108,surface,SOIL
109,fill,FILL
110,brown limestone,BEDROCK
111,clay brown,CLAY
112,silty clay,CLAY
113,sand & clay,CLAY AND SAND
114,"clay, blue",CLAY
115,"shale, gray",BEDROCK
116,dark shale,BEDROCK
117,gravel & clay,CLAY AND GRAVEL
118,clay yellow,CLAY
119,brown sand,SAND
120,gray sandstone,BEDROCK
121,"clay, yellow",CLAY
122,gray sand & gravel,SAND
123,broken rock,BEDROCK
124,galena,BEDROCK
125,gray hardpan,SOIL
126,sand and gravel,SAND
127,slate,BEDROCK
128,white sandstone,BEDROCK
129,gray lime,BEDROCK
130,gray till,CLAY
131,clay & sand,CLAY AND SAND
132,peat,ORGANIC MATERIAL
133,black topsoil,SOIL
134,medium sand,SAND
135,lime rock,BEDROCK
136,niagara,BEDROCK
137,coarse gravel,GRAVEL
138,sandy gray clay,CLAY AND SAND
139,brown sandy clay,CLAY AND SAND
140,rock formation,BEDROCK
141,gray rock,BEDROCK
142,soapstone,BEDROCK
143,sandy brown clay,CLAY
144,silt,SILT
145,red shale,BEDROCK
146,green shale,BEDROCK
147,brown top soil,SOIL
148,fine gravel,GRAVEL
149,medium gravel,GRAVEL
150,gravelly clay,CLAY AND GRAVEL
151,fine to medium sand,SAND
152,limestone gray,BEDROCK
153,brown lime,BEDROCK
154,no sample,UNKNOWN
155,brown shale,BEDROCK
156,black clay,CLAY
157,coarse sand & gravel,SAND AND GRAVEL
158,lime & shale,BEDROCK
159,blue clay & gravel,CLAY AND GRAVEL
160,gray clay & gravel,CLAY AND GRAVEL
161,soil & clay,SOIL
162,brown rock,BEDROCK
163,stoney clay,CLAY AND GRAVEL
164,water sand,SAND
165,sandy blue clay,CLAY AND SAND
166,dark gray shale,BEDROCK
167,white lime,BEDROCK
168,black top soil,SOIL
169,yellow sand & gravel,SAND AND GRAVEL
170,hard shale,BEDROCK
171,soft shale,BEDROCK
172,gray gravelly clay,CLAY AND GRAVEL
173,soft gray clay,CLAY
174,pink clay,CLAY
175,limestone & shale,BEDROCK
176,sand rock,BEDROCK
177,clay & stones,CLAY AND GRAVEL
178,fine gray sand,SAND
179,Brown crystalline fossiliferous lime,BEDROCK
180,yellow gravel,GRAVEL
181,gray clay at,CLAY
182,yellow sandstone,BEDROCK
183,gray slate,BEDROCK
184,"shale, blue",BEDROCK
185,glacial drift,CLAY
186,top soil brown,SOIL
187,shale at,BEDROCK
188,black soil,SOIL
189,yellow clay-sand,CLAY AND SAND
190,black slate,BEDROCK
191,gray sandy shale,BEDROCK
192,medium sand to fine gravel,SAND AND GRAVEL
193,blue sandy clay,CLAY AND SAND
194,clay blue,CLAY
195,yellow rock,BEDROCK
196,fireclay,BEDROCK
197,clayey silt,SILT
198,sandy yellow clay,CLAY
199,"slate, black",BEDROCK
200,medium to coarse sand,SAND
201,light gray shale,BEDROCK
202,boulders,BOULDER
203,dirt & clay,CLAY
204,"sand, gravel",SAND AND GRAVEL
205,brown sand & gravel,SAND AND GRAVEL
206,dirt,SOIL
207,grey clay,CLAY
208,limestone at,BEDROCK
209,light shale,BEDROCK
210,"shale, dark",BEDROCK
211,clay brown sandy,CLAY AND SAND
212,limerock,BEDROCK
213,broken lime,BEDROCK
214,dirty sand,SAND
215,gray gravel,GRAVEL
216,"soil, sand & gravel",SAND AND GRAVEL
217,"Above, cherty",BEDROCK
218,Above plus gray shale,BEDROCK
219,Brown crystalline lime,BEDROCK
220,Gray dolomitic lime,BEDROCK
221,Oil rock (Guttenberg),BEDROCK
222,clay brown & gray,CLAY
223,Brown oolitic fossiliferous lime,BEDROCK
224,Gray crystalline lime,BEDROCK
225,brown dolomitic lime,BEDROCK
226,overdrift,DIRT
227,oil rock,BEDROCK
228,Light brown crystalline lime,BEDROCK
229,limestone brownish gray,BEDROCK
230,Gray brown crystalline lime,BEDROCK
231,"Above, chalky",BEDROCK
232,Above plus brown crystalline fossiliferous lime,BEDROCK
233,Galena lime,BEDROCK
234,"soil, sand and gravel",SAND AND GRAVEL
235,"Above, scattered oolites",BEDROCK
236,clay brown & sand,CLAY AND SAND
237,Dark brown crystalline lime,BEDROCK
238,Gray brown dolomitic lime,BEDROCK
239,"Above, shaley",BEDROCK
240,Above plus brown crystalline lime,BEDROCK
241,Gray crystalline fossiliferous lime,BEDROCK
242,Gray shale.,BEDROCK
243,Light brown crystalline fossiliferous lime,BEDROCK
244,Dark brown crystalline fossiliferous lime,BEDROCK
245,Above plus green shale,BEDROCK
246,Green fine grained sand,SAND
247,Light brown dolomitic lime,BEDROCK
248,damp clay,CLAY
249,Above plus gray dolomitic lime,BEDROCK
250,limestone blue gray,BEDROCK
251,"Above, dolomitic",BEDROCK
252,Springfield,BEDROCK
253,Hodge podge after drill stem test,UNKNOWN
254,limestone brown soft,BEDROCK
255,loss,UNKNOWN
256,"Above, fossiliferous",BEDROCK
257,Above to brown crystalline lime,BEDROCK
258,Drab (Dunleith),BEDROCK
259,Above plus gray crystalline lime,BEDROCK
260,Gray (Dunleith),BEDROCK
261,Blue (Dunleith),BEDROCK
262,Gray brown crystalline fossiliferous lime,BEDROCK
263,Above plus brown dolomitic lime,BEDROCK
264,over,UNKNOWN
265,"""Oilrock"" (Guttenberg)",BEDROCK
266,clay bed (Spechts Ferry),CLAY
267,shale light gray sandy,BEDROCK
268,"Above, pyritic",BEDROCK
269,Upper Platteville,BEDROCK
270,"Above, oolitic",BEDROCK
