ID,DESCRIPTION,LITHOLOGY
1,"s,med,brn;",SAND
2,"s,med,calc,lgt gry brn,",SAND
3,"s,crs,brn,",SAND
4,"cly st,calc,",SILT
5,"sty cl,lea,gry,",CLAY
6,broken lime (clay seams),BEDROCK AND OTHER
7,"gravel,sandy,some water",GRAVEL WITH SAND
9,"st,lgt gry",SILT
10,"st,slgtly calc,",SILT
11,"st,sy,cly,grngry,",SILT AND SAND MIX
12,"st,sy,brn-gry,",SILT AND SAND MIX
13,"st,sy,cly,",SILT AND SAND MIX
14,"st,scttrd s,",SILT AND SAND MIX
15,VIENNA,BEDROCK
16,"st, cly, s",SILT
17,"st&s,",SILT AND SAND MIX
18,St Peter,BEDROCK
19,St. Peter,BEDROCK
20,"st&s,",SILT AND SAND
21,St.Peter,BEDROCK
22,Stark Shale Member,BEDROCK
23,Ste. Genevieve,BEDROCK
24,"st,vy cly,",SILT
25,St. Louis Limestone,BEDROCK
26,St. Louis,BEDROCK
27,very sy dk gry sh,BEDROCK
28,St. Pete,BEDROCK
29,ST. P,BEDROCK
30,St. David,BEDROCK
31,St. Gen,BEDROCK
32,St. Clair,BEDROCK
33,St. PATER,BEDROCK
34,Tan and light brown oolitic lime,BEDROCK
35,Tan and light brown sandstone,BEDROCK
36,Tan and light brwon dolomitic lime,BEDROCK
37,Tan and light brown slightly dolomitic lime,BEDROCK
38,Tan and light brown slightly sandy dolomitic lime,BEDROCK
39,Tan and light brown dense lime,BEDROCK
40,Tan and light brown dolomite,BEDROCK
41,Tan and light brown oolitic fossiliferous lime,BEDROCK
42,Tan and light brown oolitic lime,BEDROCK
43,Tan and light brown fossiliferous dolomitic lime,BEDROCK
44,Tan and light brown fossiliferous crystalline lime,BEDROCK
45,Tan and light brown granular textured lime,BEDROCK
46,Tan and white oolitic lime,BEDROCK
47,Tan and white sandy lime,BEDROCK
48,Tan and white sandy oolitic lime,BEDROCK
49,Tan and white dolomite,BEDROCK
50,Tan and white dolomitic lime,BEDROCK
51,Tan and white oolitic dolomitic lime,BEDROCK
52,Tan and white fine grained sand,SAND
53,Tan and white fossiliferous oolitic dolomitic lime,BEDROCK
54,Tan and yellow fossiliferous oolitic lime,BEDROCK
55,Tan calcareous sand,BEDROCK
56,Tan cherty lime,BEDROCK
57,Tan cherty dolomitic lime,BEDROCK
58,Tan and yellow green crystalline oolitic fossiliferous lime,BEDROCK
59,Tan and yellow oolitic lime,BEDROCK
60,Tan and yellow sandy oolitic lime,BEDROCK
61,tan brown lime,BEDROCK
62,tan bedrock,BEDROCK
63,Tan and light gray dolomite,BEDROCK
64,Tan and light gray dolomitic lime,BEDROCK
65,Tan and light gray dense lime,BEDROCK
66,Tan and light gray crystalline to dense lime,BEDROCK
67,Tan and light gray crystalline lime,BEDROCK
68,Tan and light gray lime crystalline,BEDROCK
69,Tan and light gray oolitic dolomitic lime,BEDROCK
70,Tan and light gray oolitic fossiliferous lime,BEDROCK
71,Tan and light gray cherty dolomitic lime,BEDROCK
72,Tan and light gray brown crystalline lime,BEDROCK
73,Tan and light gray crystalline to dense lime,BEDROCK
74,Tan and light gray crystalline fossiliferous lime,BEDROCK
