LITHOLOGY,CODE
BEDROCK,DoNotUse
FIRECLAY,DoNotUse
VOID,DoNotUse
CLAY AND STONE,0
DIRT AND BEDROCK,DoNotUse
DIRT AND STONE,DoNotUse
GRAVEL AND STONE,1
BOULDER,1
BOULDERS AND CLAY,1
GRAVEL WITH BOULDERS,1
CLAY,0
DIRT AND CLAY,0
CLAY AND GRAVEL,1
CLAY WITH GRAVEL,1
MUD AND GRAVEL,1
CLAY AND SAND,0
CLAY WITH SAND,0
MUD AND SAND,0
CLAY WITH GRAVEL SEAMS,1
CLAY WITH SAND STREAKS,0
FILL,DoNotUse
DRIFT,DoNotUse
MUD,0
DIRT AND GRAVEL,1
GRAVEL,1
GRAVEL WITH SAND,1
GRAVEL AND CLAY,1
GRAVEL WITH CLAY,1
GRAVEL WITH CLAY STREAKS,1
MARL,0
ORGANIC MATERIAL,0
DIRT AND SAND,0
SAND,0
SAND AND CLAY,0
SAND WITH CLAY,0
SAND AND GRAVEL,1
SAND WITH GRAVEL,1
SAND WITH CLAY STREAKS,0
SILT,0
SILT AND GRAVEL,1
SILT AND SAND,0
SILT WITH SAND SEAMS,0
DIRT,DoNotUse
SOIL,DoNotUse
UNKNOWN,DoNotUse
